"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
9421,2016-02-02 17:00:00-06,2.548833333333333,66.38,0.02,4.32,224.25599999999997,1,45.0467,30.6723,0.9850666666666664,0.551
9433,2016-02-02 18:00:00-06,1.5441166666666668,63.69,0.02,2.99,28.1152,1,-0.58436,2.5914,1.3331833333333332,0.3452
9445,2016-02-02 19:00:00-06,1.2845833333333332,59.9,0.02,2.45,-3.8061199999999995,1,-2.0481,-1.86591,1.3189666666666668,0.355
9457,2016-02-02 20:00:00-06,1.28215,56.52,0.0,3.44,-3.39983,1,-2.72382,-1.70197,1.5552333333333332,0.3392166666666666
9469,2016-02-02 21:00:00-06,0.9487833333333332,54.51,0.0,3.8,-3.1798900000000003,1,-2.72428,-1.70202,1.2871333333333332,0.3557166666666666
9481,2016-02-02 22:00:00-06,0.4329833333333333,53.45,0.0,4.36,-3.40173,1,-2.71922,-1.70202,1.4180666666666668,0.3467833333333333
9493,2016-02-02 23:00:00-06,0.4375333333333333,51.32,0.0,4.66,-3.05668,1,-2.72507,-1.70202,2.51295,0.3564333333333333
9505,2016-02-03 00:00:00-06,0.4807333333333332,49.01,0.0,5.67,-2.99453,1,-2.7253,-1.7020400000000002,2.4124833333333333,0.3405
9517,2016-02-03 01:00:00-06,0.4553666666666666,48.16,0.0,6.15,-2.72267,1,-2.47002,-1.70218,2.57905,0.3794
9529,2016-02-03 02:00:00-06,0.4598666666666666,46.39,0.0,6.64,-2.81374,1,-2.72553,-1.7023,2.3836666666666666,0.33675
9541,2016-02-03 03:00:00-06,0.7798833333333332,44.48,0.0,6.99,-2.72323,1,-2.72572,-1.7763099999999998,2.658116666666667,0.3566166666666666
9553,2016-02-03 04:00:00-06,0.8836166666666666,43.28,0.0,6.54,-2.72323,1,-2.68624,-2.02034,2.76465,0.3347333333333333
9565,2016-02-03 05:00:00-06,1.549,41.9,0.0,6.3,-2.72371,1,-2.37957,-3.77408,2.94855,0.4141333333333333
9577,2016-02-03 06:00:00-06,1.9479166666666667,40.81,0.0,6.14,-2.7241400000000002,1,-2.41364,-2.04316,3.0155333333333334,0.59785
9589,2016-02-03 07:00:00-06,2.7312333333333334,40.38,0.01,6.25,-2.7408799999999998,1,-2.1978400000000002,-2.04315,3.8569333333333327,0.5459
