,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
2758,2016-01-10 13:00:00-06,0.3660166666666666,46.3,0.22,4.42,740.045,0
2770,2016-01-10 14:00:00-06,0.3787833333333333,47.64,0.22,4.35,679.498,0
2782,2016-01-10 15:00:00-06,1.7741166666666668,48.42,0.28,3.77,551.374,0
2794,2016-01-10 16:00:00-06,1.6081166666666669,48.35,0.4,3.13,375.13,0
2806,2016-01-10 17:00:00-06,0.5239333333333333,46.81,0.55,3.71,169.041,0
2818,2016-01-10 18:00:00-06,0.8933833333333331,44.17,0.69,3.79,1.8374400000000002,0
2830,2016-01-10 19:00:00-06,0.5590166666666666,42.14,0.67,3.77,-2.72317,0
2842,2016-01-10 20:00:00-06,0.5842333333333332,41.25,0.63,2.91,-2.7241400000000002,0
2854,2016-01-10 21:00:00-06,0.5489333333333332,40.2,0.69,2.52,-2.72474,0
2866,2016-01-10 22:00:00-06,0.6447333333333332,39.36,0.61,3.24,-2.7251,0
2878,2016-01-10 23:00:00-06,0.4930166666666666,38.54,0.66,3.45,-2.72553,0
2890,2016-01-11 00:00:00-06,0.41105,38.75,0.61,2.61,-2.38512,1
2902,2016-01-11 01:00:00-06,0.43165,36.82,0.38,2.14,-1.9023299999999999,1
2914,2016-01-11 02:00:00-06,0.44346666666666656,35.56,0.3,1.61,-1.8738099999999998,1
2926,2016-01-11 03:00:00-06,0.44581666666666653,34.32,0.23,1.67,-1.6977400000000002,1
2938,2016-01-11 04:00:00-06,0.4095333333333333,34.25,0.22,1.99,-1.70318,1
2950,2016-01-11 05:00:00-06,0.6818,33.86,0.2,1.2,-1.70317,1
2962,2016-01-11 06:00:00-06,0.76745,33.07,0.2,1.18,-1.70317,1
2974,2016-01-11 07:00:00-06,0.9522333333333332,34.02,0.22,0.85,-1.70297,1
2986,2016-01-11 08:00:00-06,0.5989833333333332,35.4,0.24,0.76,7.45873,1
2998,2016-01-11 09:00:00-06,1.6004333333333332,38.65,0.24,1.44,38.0793,1
3010,2016-01-11 10:00:00-06,1.0550166666666667,42.28,0.21,1.21,58.976000000000006,1
3022,2016-01-11 11:00:00-06,0.9097833333333332,45.77,0.33,1.19,100.476,1
3034,2016-01-11 12:00:00-06,0.3003666666666666,48.99,0.29,1.23,96.0593,1
3046,2016-01-11 13:00:00-06,0.2895,51.35,0.27,1.51,205.842,1
3058,2016-01-11 14:00:00-06,0.36383333333333323,52.74,0.27,1.43,133.966,1
3070,2016-01-11 15:00:00-06,0.42195,54.29,0.27,1.55,134.148,1
3082,2016-01-11 16:00:00-06,0.2901166666666666,54.25,0.31,1.17,36.3502,1
3094,2016-01-11 17:00:00-06,0.4212333333333333,53.32,0.29,1.42,15.6926,1
3106,2016-01-11 18:00:00-06,0.55245,50.36,0.21,1.33,-1.02122,1
3118,2016-01-11 19:00:00-06,1.5591666666666668,46.73,0.23,1.82,-1.83292,1
3130,2016-01-11 20:00:00-06,0.6987833333333332,44.19,0.21,1.26,-1.833,1
3142,2016-01-11 21:00:00-06,0.3783166666666665,42.17,0.02,0.47,-2.54245,1
3154,2016-01-11 22:00:00-06,0.5525666666666667,40.42,0.0,0.34,-1.7025299999999999,1
3166,2016-01-11 23:00:00-06,0.5271833333333332,38.6,0.0,0.72,-1.7023099999999998,1
3178,2016-01-12 00:00:00-06,0.4392,38.27,0.0,1.1,-1.7021700000000002,1
3190,2016-01-12 01:00:00-06,0.39081666666666653,37.53,0.0,1.28,-1.70208,1
3202,2016-01-12 02:00:00-06,0.3999666666666665,36.57,0.0,1.57,-1.70202,1
3214,2016-01-12 03:00:00-06,0.4321333333333333,35.76,0.0,1.59,-2.2412900000000002,1
3226,2016-01-12 04:00:00-06,0.40826666666666656,36.08,0.0,2.45,-1.7025299999999999,1
3238,2016-01-12 05:00:00-06,0.6901,35.86,0.01,2.72,-2.05424,1
3250,2016-01-12 06:00:00-06,0.7596666666666666,36.0,0.01,2.81,-2.04304,1
3262,2016-01-12 07:00:00-06,0.61365,36.9,0.01,2.45,-2.3835599999999997,1
3274,2016-01-12 08:00:00-06,0.4481333333333333,38.9,0.0,3.64,27.1961,1
3286,2016-01-12 09:00:00-06,0.3762,43.31,0.0,4.22,147.20600000000002,1
3298,2016-01-12 10:00:00-06,0.388,49.14,0.01,2.73,226.84599999999998,1
3310,2016-01-12 11:00:00-06,0.4560333333333333,54.87,0.01,3.57,421.519,1
3322,2016-01-12 12:00:00-06,0.5980833333333332,58.98,0.01,3.09,370.30699999999996,1
3334,2016-01-12 13:00:00-06,0.6128,61.83,0.01,1.72,396.67800000000005,1
3346,2016-01-12 14:00:00-06,0.73985,63.2,0.01,0.98,562.524,1
3358,2016-01-12 15:00:00-06,0.6033833333333332,63.53,0.01,0.91,427.423,1
3370,2016-01-12 16:00:00-06,0.6720166666666666,63.32,0.01,0.69,130.026,1
3382,2016-01-12 17:00:00-06,0.3556166666666666,62.08,0.01,0.92,104.08,1
3394,2016-01-12 18:00:00-06,0.2672166666666666,57.14,0.01,2.46,0.9069209999999999,1
